1,0.7978
"[0.8299018151109668, 0.2748103270835667, 0.7568876930913334, 0.4578878176609933, 0.8456871402408257, 0.7543176582836013, 0.17255203708960298, 0.021941764017527343, 0.12113772476086249, 0.2788383079104346, 0.667204599858698, 0.09133419064694515, 0.7754507138910284, 0.7117053536243146, 0.5425446189959264, 0.45686170113951985, 0.352041980899237, 0.6801629234590663, 0.5776297984392962, 0.8746785291757089, 0.28092043853756743, 0.004478683523007954, 0.9646006977318, 0.8823263716194569, 0.32193295393853694, 0.2934537452350062, 0.22683122716960402, 0.62559018197631, 0.9795279296798287, 0.33451557170214874, 0.5429665211449418, 0.9721984202404027, 0.8103112563793257, 0.6370159216169654, 0.08771469938074805, 0.9542235758003942, 0.9771827337341591, 0.23268806290656474, 0.6303013813098364]",0.787
1,0.7978
"[0.358683924451636, 0.955694666084021, 0.12932191336093568, 0.03289789955552569, 0.2615604626522483, 0.48609913347399347, 0.6878480753918416, 0.9452475844268587, 0.171344228515529, 0.1483714036602165, 0.7034737079572922, 0.2554432685588177, 0.9444529877794965, 0.33050515918723566, 0.9523058356684823, 0.3340599023859111, 0.38495372556205576, 0.4146617161770604, 0.492474892662074, 0.6851107179929293, 0.7931493611579202, 0.584827560914301, 0.11554603827178866, 0.8782322555112423, 0.40304277479663575, 0.874235153753876, 0.8619479727723758, 0.8078229400593983, 0.684963465078837, 0.7170967744037736, 0.919258767418893, 0.9230297702110505, 0.10142019658310031, 0.9284924618147233, 0.09755691382633713, 0.26932534451334533, 0.5255420024595986, 0.745843300387469, 0.5681212768814702]",0.794
1,0.7978
"[0.3478409807080365, 0.41548658508990655, 0.10620813361262005, 0.45439677045952853, 0.9766144423577179, 0.5980063673658726, 0.2952794356558721, 0.5527617904088188, 0.6369813138127587, 0.851087409311483, 0.34294015896381747, 0.9423400545720718, 0.9487989737211288, 0.9087696259747109, 0.9791836000602415, 0.9133794495472476, 0.7775303825577227, 0.4425458222270695, 0.8605243989276458, 0.9979807948392593, 0.856203395090613, 0.4073413455624214, 0.6742205196464085, 0.6071095687905623, 0.4473502272782589, 0.7976023437339236, 0.5545846141293622, 0.6425037321246936, 0.04558528058841338, 0.45389874007901065, 0.9772174591309736, 0.7154688037655142, 0.8986143400899163, 0.40139538838824484, 0.42447774507083114, 0.7259628396032075, 0.20506670456496834, 0.23820452791653546, 0.6078738731575098]",0.823
1,0.7978
"[0.22716911914924265, 0.12540305007780095, 0.684606996390533, 0.505234804326553, 0.005454467041517419, 0.35490539583346115, 0.6303335684690019, 0.15841643767060698, 0.2420581421164676, 0.10793112684745665, 0.12904328866709458, 0.9218866162403427, 0.010117864358316186, 0.7562606143169202, 0.19935615277604846, 0.6334541077663953, 0.4480357331857726, 0.1093937335206806, 0.19581249165179648, 0.5448466885075339, 0.13170317743606785, 0.4839466746375788, 0.5640871331932308, 0.6449175952059667, 0.012801340563139862, 0.6814269937727708, 0.11767470138116387, 0.7987915008899393, 0.5337504431643303, 0.3168704648067725, 0.9035291765857009, 0.09153574132951703, 0.04060191786966183, 0.18560082830547164, 0.5229702545683436, 0.1651479250870158, 0.17698341476864987, 0.6523183040715818, 0.6442802287905829]",0.756
1,0.7978
"[0.4747575185738777, 0.8209781553047016, 0.7294715826460457, 0.37486429738858373, 0.6225415750795386, 0.26319255186574875, 0.47935726211699703, 0.18897946299910262, 0.9272895650264237, 0.19831396448505123, 0.314623710287115, 0.9816265996702933, 0.009370898916849724, 0.42362143906071636, 0.8591603290264631, 0.714240052423255, 0.08957073653511205, 0.054536558269701496, 0.6498579609040426, 0.4467129712098189, 0.36641950753722974, 0.9469044914478143, 0.5189321544851602, 0.21577299052413235, 0.5685691057806878, 0.2835529347042667, 0.7286572317367598, 0.3842272056163055, 0.8340998668096212, 0.8043098653152622, 0.31933590481969565, 0.745379000111686, 0.7268591500119413, 0.33582973515559567, 0.627762346240074, 0.5929787810939905, 0.5039638692696884, 0.12522961000489174, 0.547469287625107]",0.793
1,0.7978
"[0.21075574465468594, 0.6529094376833786, 0.6516977687532639, 0.96861754635655, 0.9338234137617936, 0.507919227064877, 0.10779814391601772, 0.9480509083165161, 0.5816303662456601, 0.5810324234761882, 0.926172625178436, 0.8896516779554817, 0.7076454082532667, 0.2960003586839861, 0.7435776710447963, 0.6674653608670966, 0.21797686749335932, 0.20567733672741273, 0.5599737927617788, 0.007098530302272366, 0.0928615420254757, 0.7138960228952441, 0.3443951293980959, 0.3972625646358078, 0.6417254485882233, 0.9429939224325055, 0.14173247275443956, 0.26086214942637787, 0.6430092930078379, 0.8678538902620822, 0.5526358795433368, 0.7320637172189034, 0.39533922343116534, 0.0706760539939526, 0.5799152342572192, 0.8128626135620224, 0.6278797450135901, 0.14185355286746326, 0.32949765344580473]",0.859
1,0.7978
"[0.13726919798499393, 0.5709760393268244, 0.6370284061029651, 0.6918954542008798, 0.19171740770473078, 0.4136896408269324, 0.4376298488897986, 0.1176848684933458, 0.5317179252340142, 0.4548910541736342, 0.8209695588394595, 0.9419959425299329, 0.4767522414887555, 0.795213213877683, 0.07634637904990249, 0.545481951376934, 0.5196390554885679, 0.1893985632752807, 0.33042158867273996, 0.7556774491451972, 0.5423298819729386, 0.7424271847572707, 0.749811250612557, 0.3199595429609555, 0.7534905804767693, 0.7528960136747515, 0.14476328166375774, 0.21094389240411582, 0.8304842811830773, 0.5125491599808439, 0.05503725963980344, 0.7720595220706111, 0.1742627017693369, 0.5332321918490737, 0.04565812858520535, 0.0956519495245487, 0.0587005978636862, 0.04668711166734307, 0.2411139896632024]",0.789
1,0.7978
"[0.4907355029562773, 0.8721317296794762, 0.3273956169195833, 0.1070589545597348, 0.8582758787282441, 0.8622060228486002, 0.1522246578284927, 0.555176868055509, 0.5927123515229055, 0.8397379190788383, 0.3442472353679653, 0.8673630361198194, 0.5448265924311183, 0.1077174790763924, 0.16488911216846114, 0.12902066376269772, 0.44675680727085154, 0.4752624247787137, 0.7950455530051398, 0.80285476829112, 0.39684544509615804, 0.44111680528424113, 0.5269541938331394, 0.8805803274870706, 0.9827048827182788, 0.6927397825228294, 0.7907420433289118, 0.7443885057451881, 0.7787105886762239, 0.8531754893936867, 0.9242378486654486, 0.9350230318484491, 0.6494169645682842, 0.5194532787555113, 0.8331410262569756, 0.8963226100470848, 0.9621419400487341, 0.38236182049912015, 0.3335513247802826]",0.798
1,0.7978
"[0.5710909010146581, 0.4937781401059378, 0.9326854414157553, 0.3469239465858205, 0.2087905213659147, 0.7041756442661297, 0.8944282936750249, 0.4605533596830663, 0.7443212963478861, 0.7346751336890351, 0.2598226723250904, 0.8687143647631933, 0.2838661133566981, 0.5798042788415241, 0.19168817037587682, 0.6131956696039432, 0.9289671015760433, 0.86276442721358, 0.11765361116426343, 0.1536695552069237, 0.5736788188033215, 0.4796714067983193, 0.9026271734757535, 0.4189595298207658, 0.9850548306922853, 0.9026769484227879, 0.2597950739487348, 0.29602998737575703, 0.3171222895723377, 0.07592034053539232, 0.6267669849636994, 0.9108064549728738, 0.9576365522203153, 0.6606074896441212, 0.9071658930936147, 0.3581328798904032, 0.5751000174475032, 0.4284052256760015, 0.5023301945616496]",0.801
1,0.7978
2,0.841
