0,0.785
"[0.1964738600267566, 0.3503454776569326, 1.1109252007770853, 0.36809834818982745, 1.4296583997041088, 1.503952539753973, 1.3419063545807768, 1.4086319402253966, 0.7727358870019492, 0.8299875101326479, 0.541139633556107, 1.7075235101720174]",0.785
0,0.785
"[0.16188170096830157, 0.4795408469086109, 1.2566963670290254, 0.4005512772301323, 0.014207335020714362, 1.688336563467212, 1.1737400666999298, 0.07331410464948673, 0.2973416045443895, 0.1517729883734984, 1.5021480440844428, 1.0922036989144572]",0.785
0,0.785
"[0.39663750043706125, 0.05877100902243226, 1.4797803711010429, 1.2758841095267415, 0.8399689518630333, 0.3428220779734288, 1.7656389408718112, 0.4599664351312125, 1.8846534059483646, 0.08027796495485795, 0.12521932180188333, 0.8942817922465331]",0.785
0,0.785
"[0.4684947555150243, 1.6599967664115072, 1.2658837583340075, 0.46839160161561955, 0.29336060920102924, 1.1108100180974947, 0.36420033285659326, 0.8598410339511866, 1.7404639788224783, 1.668354670949159, 1.086185069761291, 0.469702138546352]",0.785
0,0.785
1,0.785
"[7.501611430996342, 1.557685711946137, 1.6056461543413183, 10.165711136792615, 4.6314419610083135, 5.921269559153346, 3.1751802313626976, 1.6290895041116993, 9.4792422570339, 7.371454962775262, 2.7071347009375355, 7.087799765037648]",0.785
1,0.785
"[6.557605239063553, 1.5852981495383252, 0.9187801255048809, 9.876699041211722, 4.578805984732996, 4.178382481965679, 1.9154633930364455, 1.1522526155915265, 8.268805211168475, 6.999802741730601, 2.266497417379959, 5.866238754833377]",0.785
1,0.785
"[6.557605239063553, 1.5852981495383252, 0.9187801255048809, 9.876699041211722, 4.578805984732996, 4.178382481965679, 1.9154633930364455, 1.1522526155915265, 8.268805211168475, 6.999802741730601, 2.266497417379959, 5.866238754833377]",0.785
1,0.785
"[3.170160975450585, 0.6160456116090061, 0.5114827755787538, 4.017687026580971, 2.0756365581252547, 2.1305003445947093, 1.1400473318007882, 0.4551282838657447, 4.465669630437176, 3.505758129279183, 1.173360108574396, 2.6436977051230963]",0.785
1,0.785
2,0.785
"[24.730742117494557, 6.317543725695812, 5.722052474627122, 40.27491189367572, 11.518536229551382, 21.39931246154446, 9.83600915616308, 6.79648987848159, 35.54957497833688, 20.302893935564967, 12.417828751690184, 28.339215790736482]",0.785
2,0.785
"[18.501949703269652, 7.014968491555866, 4.5210445510764234, 39.19314294381692, 15.720868350283435, 19.764096632246222, 11.201592578401042, 3.582849401184792, 24.45564368798197, 29.757144773920857, 8.919961255687015, 27.917115981832175]",0.785
2,0.785
"[16.099533938976183, 2.561556959218035, 3.3823963142764626, 19.168907535917015, 7.306314983304706, 11.959211704996584, 4.644883063374254, 2.928732498727131, 16.11074117560248, 13.65020273901633, 4.232480609483802, 14.11949920851513]",0.785
2,0.785
"[13.477082731723726, 2.9381840888016937, 1.7943627264236042, 14.630977378152632, 8.321198181798875, 8.55751305588886, 3.5506482059980993, 1.656645782250136, 13.516695538311902, 14.275878220121893, 4.555571416730125, 12.46580561865478]",0.785
2,0.785
3,0.785
"[75.14740572244409, 23.946393854570807, 20.64145694647945, 168.40976488117474, 43.45995751317538, 64.50375000636113, 33.81942032626893, 15.820627258156485, 107.16344661173376, 57.004328741562674, 53.025510302639205, 52.307330438093146]",0.785
3,0.785
"[59.777912804147384, 8.910075051545588, 13.567160132594545, 57.57054309959182, 34.41823975287, 32.502746520927104, 18.373402781598703, 14.321180722060245, 56.17651524981751, 47.667927159877365, 15.265964525437628, 35.755599886832655]",0.785
3,0.785
"[42.705169081058884, 12.938542261275957, 12.309571231134765, 115.02045231596327, 51.25060009847927, 70.73278443331284, 39.0583838253317, 15.51548455417419, 60.190667500431765, 98.19645222389202, 20.794615838855282, 69.38669879425358]",0.785
3,0.785
"[41.404970054445116, 12.552376431617546, 11.502652641855175, 80.17706879867809, 19.53429766617991, 41.650752322426854, 20.692295977594682, 11.133463272569333, 57.54452931626261, 29.15914114206586, 24.883755500028826, 37.76615838732675]",0.785
3,0.785
4,0.788
