1,0.6785
"[0.640596547638361, 0.3867448089216762, 0.8218857971192872, 0.48828318411245375, 0.6573956449340288, 0.39743285612677703, 0.5681871187350791, 0.6030431609852119, 0.5967680866150123, 0.575543249974611, 0.6795904519881621, 0.33673528210713244, 0.018450189583724352, 0.8351882266982255, 0.11344930036344991]",0.785
1,0.6785
"[0.6805644906853254, 0.8808197733843132, 0.8219719831437262, 0.774026997997479, 0.3182143529614755, 0.8116821708635507, 0.5118040575377796, 0.7128398750309867, 0.1639592331911821, 0.05203614330131101, 0.19322208131035012, 0.2913094564757479, 0.3029398585753472, 0.4283834312454544, 0.698845164428138]",0.635
1,0.6785
"[0.15805952287234126, 0.714881129545155, 0.7117031081844906, 0.2639733584930827, 0.591527071722977, 0.7035450828765829, 0.5042089523834299, 0.13808147400200743, 0.7501346172447622, 0.6718467984943474, 0.8617932312050146, 0.31985147780630974, 0.7287477295606717, 0.20473465750032505, 0.8566166248108983]",0.68
1,0.6785
"[0.044899331061924785, 0.6495233667343179, 0.05737367098016488, 0.018961992910232706, 0.271387908030725, 0.7905953472911866, 0.9510243591087985, 0.6658105321878265, 0.03624786716437112, 0.2090033952701138, 0.3689625320127158, 0.5557916714390024, 0.3657195308461001, 0.7748257928462328, 0.9140796114259995]",0.69
1,0.6785
"[0.6113487957214073, 0.925359663748019, 0.018784340852255554, 0.6550392091770175, 0.09128275774859695, 0.7191387148791429, 0.8752402446150179, 0.10716528637564204, 0.599880356839952, 0.43701358571015636, 0.6161931735358167, 0.9656074307802344, 0.583611059723107, 0.2774741455578279, 0.1810511871195074]",0.66
1,0.6785
"[0.1368838115787836, 0.704634824151775, 0.4058268370851469, 0.21871920142263734, 0.8677547473611635, 0.5457629853116155, 0.5051890437188521, 0.3684708504157441, 0.573113689761403, 0.46088401020085423, 0.26736700853381534, 0.9345565295482394, 0.3474094345881633, 0.9594413938477878, 0.3960047127256624]",0.69
1,0.6785
"[0.7130479261072823, 0.5610985749927007, 0.757197118201884, 0.92697363045262, 0.3287403311429212, 0.7586403591190748, 0.2616503539707107, 0.3388198377888135, 0.14831456552839206, 0.37504552411611414, 0.47710014601990625, 0.8819610823083099, 0.7909607553167021, 0.5439821806871155, 0.7213740223753637]",0.69
1,0.6785
"[0.5663265207299637, 0.8712906410599524, 0.3112995688779663, 0.4745336766966365, 0.42467946391906186, 0.6826465981019874, 0.9927909438389706, 0.8886045046329141, 0.0878521164922047, 0.9543880339020903, 0.3595754971031673, 0.13615783449639962, 0.04579121124521135, 0.37514406082074103, 0.29463104634776205]",0.68
1,0.6785
"[0.9234125168724371, 0.06260719309277651, 0.6975042362126553, 0.11498678083919422, 0.574058455668317, 0.044172537985593174, 0.7999462535671561, 0.09653381418486706, 0.7945141002101982, 0.6982761441510053, 0.38488796646472234, 0.11742859567008412, 0.7263214983922721, 0.1756102006148722, 0.7517470840684124]",0.625
1,0.6785
2,0.7215
"[0.3992398714131429, 0.02758455714854503, 0.31228534336239067, 0.963725558397253, 0.06601972182189972, 0.022662448986406663, 0.018839483164051936, 0.026909772965634446, 0.4943646322603378, 0.08573125906051862, 0.04856013702668361, 0.03223659386816692, 0.04899067396630096]",0.725
2,0.7215
"[0.029308060205562793, 0.0193619963950955, 0.9538410689191257, 0.02736774998819873, 0.19628302854951843, 0.024914288296019053, 0.020470731382335065, 0.16718900588255414, 0.029867579240143837, 0.04099971827416045, 0.02907666591450474, 0.01855497111121911, 0.03069994844617061]",0.725
2,0.7215
"[0.02796989442927011, 0.04632724998908544, 0.021799636968273497, 0.03672134996996119, 0.027254309446063142, 0.04508145651034051, 0.031533294256697784, 0.02971066146765112, 0.030023346415925887, 0.031131077633423293, 0.026364171370933474, 0.053207520426366686, 0.9711388527850185]",0.725
2,0.7215
"[0.026327235462470365, 0.02034106350244759, 0.021797351214962724, 0.023158608907987085, 0.056304599423474426, 0.02207369670767116, 0.03500717216887953, 0.02513440996575939, 0.10927981022465384, 0.34441669388697715, 0.09272715941533895, 0.061504549630270994, 0.0591432759539615]",0.725
2,0.7215
"[0.025127841333985775, 0.03193167353944502, 0.0236620194432109, 0.01933600967277228, 0.054501762631365705, 0.023617024309914286, 0.06847620718459854, 0.05288007679244224, 0.12080742419685482, 0.04777430283546947, 0.0375536570393818, 0.020314750772829127, 0.022651973451845754]",0.725
2,0.7215
"[2.2046895807755345e-05, 4.810353289820273e-07, 4.975646577632841e-07, 0.00037080685758862604, 2.318006800443951e-06, 1.1281669233943777e-06, 3.313350902940671e-07, 3.381467034580223e-07, 5.789979495861725e-06, 1.5432697395999708e-05, 1.4405313138402787e-06, 9.066602162501444e-07, 9.213781839493944e-07]",0.725
2,0.7215
"[-1.878088099916727, -0.2365605722880771, 0.4004040204933913, -0.8807797321218886, 0.1660072855982566, 0.000637698440470216, -0.8848172995131385, -1.9220519209083826, 0.662288115437659, -0.4358185956401047, 0.5022191308883499, 0.1836945216594699, 1.8573529763060945]",0.7
2,0.7215
"[1.3117759347331208, -0.6347297555520449, -0.7117032653886721, 0.4064875014356182, -0.5906852401776649, -0.6832835619513973, -0.10797342858134401, 1.033447636455249, -0.7501364618608225, -0.518559389463968, -0.8617936900084907, -0.3198517657646392, -0.7287480231003979]",0.69
2,0.7215
"[0.3992398714131429, 0.02758455714854503, 0.31228534336239067, 0.963725558397253, 0.06601972182189972, 0.022662448986406663, 0.018839483164051936, 0.026909772965634446, 0.4943646322603378, 0.08573125906051862, 0.04856013702668361, 0.03223659386816692, 0.04899067396630096]",0.69
2,0.7215
2,0.7230000000000001
"[0.4503035485579363, -0.2365605722880771, 0.9867907576339243, 0.7368672106818097, 0.0882187223602936, 0.04508145651034051, 0.002420067075976237, 0.023530482094144493, 0.013118483283993801, -0.13162860139414456, -0.8617936900084907, 0.04119852628894655, 0.96532496862444]",0.725
2,0.7230000000000001
"[-0.33593123172370276, 0.01488146210718914, -0.8780498088000931, 0.43287690593204753, 0.08162556568000837, 0.41773568466124644, 0.07574531389621866, 1.033447636455249, -0.01536284129448354, 0.016507527052323008, 0.047006827926051875, 0.20353829253041195, 0.5280687700988023]",0.725
2,0.7230000000000001
"[-2.1191710266759722, 0.16143543617315678, 1.0708290546959756, 0.0001928706129853408, 0.0882187223602936, 0.058983437638487, 0.0674210259015945, -0.32887371157374656, -0.03235690444795867, 0.3614310557125991, 0.6028837732296901, -0.08561588687822802, 0.6805068778841159]",0.725
2,0.7230000000000001
"[-2.121564827626187, -0.22936255084077317, 0.7710495756992368, 0.5062536432119297, 0.06891071655556177, -0.011653901539273273, 0.05915291025992437, -0.9167798563291712, -0.2624669642962036, -0.028893587795654943, 1.017230090858513, 0.04119852628894655, 0.8067120555986353]",0.725
2,0.7230000000000001
"[-2.1359162179445472, 0.09153112358180743, 0.44852852343016475, -0.524398924064149, 0.04367312742482475, 0.04571349039982821, 0.04665968749803045, 1.945780609567695, -0.012922982416356508, 0.23126920193134592, 1.340966194372828, -0.05406526052415919, 1.0526186004834224]",0.725
2,0.7230000000000001
